Track,Title,Date,Start Time,End Time,Location,Description
Dan Lectures,Dan Level Lecture (speaker TBD),7/22/2018,1:00 PM,2:00 PM,Classroom,
Dan Lectures,Dan Level Lecture (speaker TBD),7/22/2018,2:00 PM,3:00 PM,Classroom,
Dan Lectures,Dan Level Lecture (speaker TBD),7/22/2018,3:00 PM,4:00 PM,Classroom,
Dan Lectures,Dan Level Lecture (speaker TBD),7/22/2018,4:00 PM,5:00 PM,Classroom,"Dan level lectures get PRETTY SOPHISTICATED soooo...."
Dan Lectures,Dan Level Lecture (speaker TBD),7/22/2018,5:00 PM,6:00 PM,Classroom,
Game Reviews,Game Review (reviewer TBD),7/26/2018,1:00 PM,2:00 PM,Balcony 1,"Game reviews are group events targeted at specific skill groups, in which a professional will go over the major good and bad points of your game as you play it out on a demo board. "
Game Reviews,Game Review (reviewer TBD),7/26/2018,2:00 PM,3:00 PM,Balcony 1,"Game reviews are group events targeted at specific skill groups, in which a professional will go over the major good and bad points of your game as you play it out on a demo board. "
Game Reviews,Slightly Different Game Review (reviewer TBD),7/26/2018,3:00 PM,4:00 PM,Balcony 1,"Game reviews are group events targeted at specific skill groups, in which a professional will go over the major good and bad points of your game as you play it out on a demo board. "
Game Reviews,Game Review (reviewer TBD),7/26/2018,4:00 PM,5:00 PM,Balcony 1,"Game reviews are group events targeted at specific skill groups, in which a professional will go over the major good and bad points of your game as you play it out on a demo board. "
Game Reviews,Game Review (reviewer TBD),7/26/2018,5:00 PM,6:00 PM,Balcony 1,"Game reviews are group events targeted at specific skill groups, in which a professional will go over the major good and bad points of your game as you play it out on a demo board. "
